Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2003,01,10,20,00,00,97.5605
2003,01,10,21,00,00,97.64667
2003,01,10,22,00,00,96.6675
2003,01,10,23,00,00,97.58617
2003,01,11,00,00,00,98.63021
2003,01,11,01,00,00,99.1095
2003,01,11,02,00,00,98.72062
2003,01,11,03,00,00,98.45019
2003,01,11,04,00,00,98.46483
2003,01,11,05,00,00,98.01783
2003,01,11,06,00,00,97.2545
2003,01,11,07,00,00,96.0865
2003,01,11,08,00,00,95.30167
2003,01,11,09,00,00,94.441
2003,01,11,10,00,00,94.61583
2003,01,11,11,00,00,94.23565
2003,01,11,12,00,00,94.60133
2003,01,11,13,00,00,94.7385
2003,01,11,14,00,00,94.7205
2003,01,11,15,00,00,94.982
2003,01,11,16,00,00,95.288
2003,01,11,17,00,00,95.44375
2003,01,11,18,00,00,95.53967
2003,01,11,19,00,00,95.95083
2003,01,11,20,00,00,94.85
2003,01,11,21,00,00,NaN
2003,01,11,22,00,00,95.205
2003,01,11,23,00,00,94.732
2003,01,12,00,00,00,94.94983
2003,01,12,01,00,00,95.03733
2003,01,12,02,00,00,95.375
2003,01,12,03,00,00,95.544
2003,01,12,04,00,00,95.21883
2003,01,12,05,00,00,95.4255
2003,01,12,06,00,00,95.12833
2003,01,12,07,00,00,95.75625
2003,01,12,08,00,00,95.42017
2003,01,12,09,00,00,95.49241
2003,01,12,10,00,00,95.56778
2003,01,12,11,00,00,97.04017
2003,01,12,12,00,00,96.7675
2003,01,12,13,00,00,96.62667
2003,01,12,14,00,00,97.77033
2003,01,12,15,00,00,96.32981
2003,01,12,16,00,00,96.01133
2003,01,12,17,00,00,96.47452
2003,01,12,18,00,00,96.59259
2003,01,12,19,00,00,96.1805
2003,01,12,20,00,00,96.25333
2003,01,12,21,00,00,96.117
2003,01,12,22,00,00,95.8315
2003,01,12,23,00,00,95.51817
2003,01,13,00,00,00,94.87375
2003,01,13,01,00,00,94.57963
2003,01,13,02,00,00,95.21333
2003,01,13,03,00,00,NaN
2003,01,13,04,00,00,93.88833
2003,01,13,05,00,00,97.47
2003,01,13,06,00,00,95.5465
2003,01,13,07,00,00,95.70567
2003,01,13,08,00,00,94.08704
2003,01,13,09,00,00,89.85433
2003,01,13,10,00,00,87.75583
2003,01,13,11,00,00,84.4035
2003,01,13,12,00,00,88.77315
2003,01,13,13,00,00,89.92733
2003,01,13,14,00,00,88.95117
2003,01,13,15,00,00,88.97102
2003,01,13,16,00,00,89.50583
2003,01,13,17,00,00,88.30183
2003,01,13,18,00,00,89.27833
2003,01,13,19,00,00,88.93537
2003,01,13,20,00,00,89.748
2003,01,13,21,00,00,92.89
2003,01,13,22,00,00,91.54167
2003,01,13,23,00,00,90.7785
2003,01,14,00,00,00,92.01667
2003,01,14,01,00,00,91.48117
2003,01,14,02,00,00,92.64857
2003,01,14,03,00,00,93.95567
2003,01,14,04,00,00,94.367
2003,01,14,05,00,00,95.07417
2003,01,14,06,00,00,94.675
2003,01,14,07,00,00,95.77417
2003,01,14,08,00,00,95.5705
2003,01,14,09,00,00,94.54083
2003,01,14,10,00,00,93.58733
2003,01,14,11,00,00,94.0935
2003,01,14,12,00,00,94.06867
2003,01,14,13,00,00,93.74867
2003,01,14,14,00,00,93.356
2003,01,14,15,00,00,94.67
2003,01,14,16,00,00,96.06967
2003,01,14,17,00,00,94.5835
2003,01,14,18,00,00,94.15833
2003,01,14,19,00,00,94.2935
2003,01,14,20,00,00,95.11167
2003,01,14,21,00,00,97.85967
2003,01,14,22,00,00,98.04083
2003,01,14,23,00,00,97.87367
