Year,Month,Day,Hour,Minute,Second,HYY_META.PAR
2013,01,15,07,00,00,0.02
2013,01,15,08,00,00,-0.04933
2013,01,15,09,00,00,5.56667
2013,01,15,10,00,00,16.93733
2013,01,15,11,00,00,30.908
2013,01,15,12,00,00,54.516
2013,01,15,13,00,00,41.724
2013,01,15,14,00,00,18.948
2013,01,15,15,00,00,4.97733
2013,01,15,16,00,00,0.02
2013,01,15,17,00,00,-0.01467
2013,01,15,18,00,00,0.15867
2013,01,15,19,00,00,0.332
2013,01,15,20,00,00,0.05467
2013,01,15,21,00,00,0.08933
2013,01,15,22,00,00,-0.11867
2013,01,15,23,00,00,0.228
2013,01,16,00,00,00,0.01533
2013,01,16,01,00,00,-0.01933
2013,01,16,02,00,00,-0.12333
2013,01,16,03,00,00,0.05
2013,01,16,04,00,00,-0.12333
2013,01,16,05,00,00,0.05
2013,01,16,06,00,00,-0.19267
2013,01,16,07,00,00,-0.01933
2013,01,16,08,00,00,0.32733
2013,01,16,09,00,00,9.86067
2013,01,16,10,00,00,37.49
2013,01,16,11,00,00,99.994
2013,01,16,12,00,00,99.40467
2013,01,16,13,00,00,56.24467
2013,01,16,14,00,00,39.01533
2013,01,16,15,00,00,9.44467
2013,01,16,16,00,00,0.43133
2013,01,16,17,00,00,0.01533
2013,01,16,18,00,00,-0.01933
2013,01,16,19,00,00,0.11933
2013,01,16,20,00,00,0.08467
2013,01,16,21,00,00,-0.01933
2013,01,16,22,00,00,0.258
2013,01,16,23,00,00,0.05
2013,01,17,00,00,00,-0.12467
2013,01,17,01,00,00,-0.02067
2013,01,17,02,00,00,-0.22867
2013,01,17,03,00,00,-0.02067
2013,01,17,04,00,00,-0.26333
2013,01,17,05,00,00,0.118
2013,01,17,06,00,00,0.04867
2013,01,17,07,00,00,0.014
2013,01,17,08,00,00,0.15267
2013,01,17,09,00,00,12.84067
2013,01,17,10,00,00,74.51267
2013,01,17,11,00,00,144.054
2013,01,17,12,00,00,148.838
2013,01,17,13,00,00,158.44067
2013,01,17,14,00,00,87.40867
2013,01,17,15,00,00,21.88867
2013,01,17,16,00,00,0.88067
2013,01,17,17,00,00,-0.05533
2013,01,17,18,00,00,-0.194
2013,01,17,19,00,00,-0.05533
2013,01,17,20,00,00,0.08333
2013,01,17,21,00,00,-0.05533
2013,01,17,22,00,00,-0.09
2013,01,17,23,00,00,0.08333
2013,01,18,00,00,00,0.01467
2013,01,18,01,00,00,0.15333
2013,01,18,02,00,00,-0.15867
2013,01,18,03,00,00,-0.19333
2013,01,18,04,00,00,0.188
2013,01,18,05,00,00,-0.124
2013,01,18,06,00,00,0.11867
2013,01,18,07,00,00,-0.08933
2013,01,18,08,00,00,0.32667
2013,01,18,09,00,00,19.22
2013,01,18,10,00,00,87.34
2013,01,18,11,00,00,168.18267
2013,01,18,12,00,00,162.70533
2013,01,18,13,00,00,173.62533
2013,01,18,14,00,00,123.80933
2013,01,18,15,00,00,26.604
2013,01,18,16,00,00,0.77733
2013,01,18,17,00,00,0.084
2013,01,18,18,00,00,-0.02
2013,01,18,19,00,00,-0.08933
2013,01,18,20,00,00,0.11867
2013,01,18,21,00,00,-0.02
2013,01,18,22,00,00,-0.08933
2013,01,18,23,00,00,0.11867
2013,01,19,00,00,00,-0.26867
2013,01,19,01,00,00,-0.19933
2013,01,19,02,00,00,0.14733
2013,01,19,03,00,00,0.00867
2013,01,19,04,00,00,0.00867
2013,01,19,05,00,00,-0.26867
2013,01,19,06,00,00,-0.19933
2013,01,19,07,00,00,-0.16467
2013,01,19,08,00,00,0.45933
2013,01,19,09,00,00,12.00333
2013,01,19,10,00,00,42.47533
2013,01,19,11,00,00,62.65133
2013,01,19,12,00,00,51.10733
2013,01,19,13,00,00,53.638
2013,01,19,14,00,00,20.878
2013,01,19,15,00,00,6.24867
2013,01,19,16,00,00,0.56333
2013,01,19,17,00,00,0.14733
2013,01,19,18,00,00,-0.13
2013,01,19,19,00,00,-0.16467
2013,01,19,20,00,00,0.25133
2013,01,19,21,00,00,-0.026
2013,01,19,22,00,00,0.00867
2013,01,19,23,00,00,0.25133
2013,01,20,00,00,00,0.16267
2013,01,20,01,00,00,0.16267
2013,01,20,02,00,00,0.232
2013,01,20,03,00,00,-0.01067
2013,01,20,04,00,00,-0.08
