Year,Month,Day,Hour,Minute,Second,HYY_META.CO2icos168
2013,01,11,08,00,00,402.1857
2013,01,11,09,00,00,402.317
2013,01,11,10,00,00,402.5578
2013,01,11,11,00,00,402.5686
2013,01,11,12,00,00,402.9276
2013,01,11,13,00,00,403.2994
2013,01,11,14,00,00,403.4062
2013,01,11,15,00,00,403.5077
2013,01,11,16,00,00,403.5282
2013,01,11,17,00,00,403.5977
2013,01,11,18,00,00,403.7277
2013,01,11,19,00,00,403.90222
2013,01,11,20,00,00,404.0617
2013,01,11,21,00,00,403.8523
2013,01,11,22,00,00,403.5225
2013,01,11,23,00,00,403.3996
2013,01,12,00,00,00,403.4156
2013,01,12,01,00,00,403.5309
2013,01,12,02,00,00,403.6157
2013,01,12,03,00,00,403.7654
2013,01,12,04,00,00,403.8585
2013,01,12,05,00,00,403.9035
2013,01,12,06,00,00,404.0282
2013,01,12,07,00,00,403.9176
2013,01,12,08,00,00,404.1473
2013,01,12,09,00,00,404.38044
2013,01,12,10,00,00,404.5006
2013,01,12,11,00,00,404.6473
2013,01,12,12,00,00,404.7696
2013,01,12,13,00,00,404.6365
2013,01,12,14,00,00,404.6328
2013,01,12,15,00,00,405.0126
2013,01,12,16,00,00,405.7007
2013,01,12,17,00,00,405.9462
2013,01,12,18,00,00,405.6833
2013,01,12,19,00,00,404.6853
2013,01,12,20,00,00,404.0194
2013,01,12,21,00,00,403.9723
2013,01,12,22,00,00,403.9636
2013,01,12,23,00,00,404.13656
2013,01,13,00,00,00,403.9209
2013,01,13,01,00,00,403.9568
2013,01,13,02,00,00,403.8504
2013,01,13,03,00,00,403.3491
2013,01,13,04,00,00,403.0143
2013,01,13,05,00,00,402.7994
2013,01,13,06,00,00,402.6753
2013,01,13,07,00,00,402.6168
2013,01,13,08,00,00,402.5064
2013,01,13,09,00,00,402.4774
2013,01,13,10,00,00,402.6725
2013,01,13,11,00,00,402.701
2013,01,13,12,00,00,402.7919
2013,01,13,13,00,00,402.7832
2013,01,13,14,00,00,402.86044
2013,01,13,15,00,00,402.985
2013,01,13,16,00,00,402.7102
2013,01,13,17,00,00,402.2416
2013,01,13,18,00,00,402.3281
2013,01,13,19,00,00,402.648
2013,01,13,20,00,00,402.4348
2013,01,13,21,00,00,402.0101
2013,01,13,22,00,00,401.7907
2013,01,13,23,00,00,401.6309
2013,01,14,00,00,00,401.5345
2013,01,14,01,00,00,401.52
2013,01,14,02,00,00,401.5966
2013,01,14,03,00,00,401.593
2013,01,14,04,00,00,401.53411
2013,01,14,05,00,00,401.6173
2013,01,14,06,00,00,401.9257
2013,01,14,07,00,00,402.3986
2013,01,14,08,00,00,402.6447
2013,01,14,09,00,00,402.8262
2013,01,14,10,00,00,402.7362
2013,01,14,11,00,00,402.4358
2013,01,14,12,00,00,402.3862
2013,01,14,13,00,00,402.51257
2013,01,14,14,00,00,402.73922
2013,01,14,15,00,00,402.8826
2013,01,14,16,00,00,402.7697
