Year,Month,Day,Hour,Minute,Second,HYY_META.RHIRGA336
2003,01,13,08,00,00,103.15
2003,01,13,09,00,00,100.655
2003,01,13,10,00,00,99.704
2003,01,13,11,00,00,97.914
2003,01,13,12,00,00,96.62
2003,01,13,13,00,00,95.706
2003,01,13,14,00,00,93.891
2003,01,13,15,00,00,94.542
2003,01,13,16,00,00,95.03
2003,01,13,17,00,00,94.813
2003,01,13,18,00,00,95.64
2003,01,13,19,00,00,94.813
2003,01,13,20,00,00,95.303
2003,01,13,21,00,00,98.348
2003,01,13,22,00,00,95.214
2003,01,13,23,00,00,94.905
2003,01,14,00,00,00,96.357
2003,01,14,01,00,00,91.44
2003,01,14,02,00,00,88.573
2003,01,14,03,00,00,98.372
2003,01,14,04,00,00,100.015
2003,01,14,05,00,00,101.351
2003,01,14,06,00,00,99.385
2003,01,14,07,00,00,101.069
2003,01,14,08,00,00,99.635
2003,01,14,09,00,00,97.133
2003,01,14,10,00,00,96.638
2003,01,14,11,00,00,97.978
2003,01,14,12,00,00,98.438
2003,01,14,13,00,00,98.444
2003,01,14,14,00,00,98.742
2003,01,14,15,00,00,100.532
2003,01,14,16,00,00,102.458
2003,01,14,17,00,00,100.64
2003,01,14,18,00,00,99.63
2003,01,14,19,00,00,99.622
2003,01,14,20,00,00,100.943
2003,01,14,21,00,00,104.155
2003,01,14,22,00,00,103.856
2003,01,14,23,00,00,103.653
2003,01,15,00,00,00,101.916
2003,01,15,01,00,00,101.929
2003,01,15,02,00,00,101.51
2003,01,15,03,00,00,100.815
2003,01,15,04,00,00,100.389
2003,01,15,05,00,00,99.893
2003,01,15,06,00,00,99.283
2003,01,15,07,00,00,99.013
2003,01,15,08,00,00,99.382
2003,01,15,09,00,00,99.6
2003,01,15,10,00,00,100.327
2003,01,15,11,00,00,101.232
2003,01,15,12,00,00,100.57
2003,01,15,13,00,00,100.404
2003,01,15,14,00,00,100.011
2003,01,15,15,00,00,100.12
2003,01,15,16,00,00,100.149
2003,01,15,17,00,00,99.479
2003,01,15,18,00,00,99.347
2003,01,15,19,00,00,99.369
2003,01,15,20,00,00,99.309
2003,01,15,21,00,00,99.693
2003,01,15,22,00,00,99.821
2003,01,15,23,00,00,100.747
2003,01,16,00,00,00,100.748
2003,01,16,01,00,00,102.96286
2003,01,16,02,00,00,102.34
2003,01,16,03,00,00,100.408
2003,01,16,04,00,00,99.311
2003,01,16,05,00,00,97.856
2003,01,16,06,00,00,97.714
2003,01,16,07,00,00,97.202
2003,01,16,08,00,00,96.6
2003,01,16,09,00,00,96.453
2003,01,16,10,00,00,99.266
2003,01,16,11,00,00,101.794
2003,01,16,12,00,00,102.759
2003,01,16,13,00,00,102.225
2003,01,16,14,00,00,100.5
2003,01,16,15,00,00,96.698
2003,01,16,16,00,00,89.997
2003,01,16,17,00,00,87.474
2003,01,16,18,00,00,89.132
2003,01,16,19,00,00,90.767
2003,01,16,20,00,00,90.081
2003,01,16,21,00,00,86.471
2003,01,16,22,00,00,85.52
2003,01,16,23,00,00,85.622
2003,01,17,00,00,00,86.915
2003,01,17,01,00,00,88.029
2003,01,17,02,00,00,87.067
2003,01,17,03,00,00,87.878
2003,01,17,04,00,00,91.311
2003,01,17,05,00,00,93.627
2003,01,17,06,00,00,93.603
2003,01,17,07,00,00,95.315
2003,01,17,08,00,00,94.571
2003,01,17,09,00,00,91.051
2003,01,17,10,00,00,93.501
2003,01,17,11,00,00,91.329
2003,01,17,12,00,00,90.84
2003,01,17,13,00,00,91.827
2003,01,17,14,00,00,97.203
2003,01,17,15,00,00,100.531
2003,01,17,16,00,00,100.718
2003,01,17,17,00,00,101.148
2003,01,17,18,00,00,101.138
2003,01,17,19,00,00,99.998
2003,01,17,20,00,00,98.354
2003,01,17,21,00,00,96.831
2003,01,17,22,00,00,95.914
2003,01,17,23,00,00,96.328
2003,01,18,00,00,00,93.61
2003,01,18,01,00,00,90.684
2003,01,18,02,00,00,85.538
2003,01,18,03,00,00,86.241
2003,01,18,04,00,00,86.33
2003,01,18,05,00,00,89.187
2003,01,18,06,00,00,88.526
2003,01,18,07,00,00,88.889
2003,01,18,08,00,00,94.645
2003,01,18,09,00,00,99.822
2003,01,18,10,00,00,100.16333
2003,01,18,11,00,00,100.23286
2003,01,18,12,00,00,100.841
2003,01,18,13,00,00,99.67
2003,01,18,14,00,00,99.919
2003,01,18,15,00,00,98.924
2003,01,18,16,00,00,97.246
2003,01,18,17,00,00,97.582
2003,01,18,18,00,00,98.323
2003,01,18,19,00,00,96.628
2003,01,18,20,00,00,95.828
2003,01,18,21,00,00,95.132
2003,01,18,22,00,00,93.168
2003,01,18,23,00,00,90.572
2003,01,19,00,00,00,92.633
2003,01,19,01,00,00,94.412
2003,01,19,02,00,00,94.622
2003,01,19,03,00,00,92.309
2003,01,19,04,00,00,89.396
2003,01,19,05,00,00,86.836
2003,01,19,06,00,00,83.287
2003,01,19,07,00,00,83.33
2003,01,19,08,00,00,80.846
2003,01,19,09,00,00,76.168
2003,01,19,10,00,00,75.393
2003,01,19,11,00,00,75.169
2003,01,19,12,00,00,71.462
2003,01,19,13,00,00,68.84
2003,01,19,14,00,00,65.591
2003,01,19,15,00,00,66.541
2003,01,19,16,00,00,67.943
2003,01,19,17,00,00,69.254
2003,01,19,18,00,00,67.149
2003,01,19,19,00,00,68.62
2003,01,19,20,00,00,80.069
2003,01,19,21,00,00,83.403
2003,01,19,22,00,00,87.599
2003,01,19,23,00,00,92.128
2003,01,20,00,00,00,95.284
2003,01,20,01,00,00,96.639
2003,01,20,02,00,00,96.518
2003,01,20,03,00,00,96.272
2003,01,20,04,00,00,98.14
2003,01,20,05,00,00,97.616
2003,01,20,06,00,00,96.944
2003,01,20,07,00,00,96.459
2003,01,20,08,00,00,96.263
2003,01,20,09,00,00,95.607
2003,01,20,10,00,00,91.281
2003,01,20,11,00,00,86.414
2003,01,20,12,00,00,84.473
2003,01,20,13,00,00,88.855
2003,01,20,14,00,00,94.51
2003,01,20,15,00,00,97.971
